header,type,class,mechanism,group,snp
MEG_787|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME,
MEG_1020|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-DPRIME,
MEG_11281|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,
MEG_884|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME,
MEG_933|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME,
MEG_849|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME,
MEG_1046|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-DPRIME,
MEG_254|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,
MEG_1063|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,Drugs,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-PRIME,
MEG_1015|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH2-DPRIME,
MEG_273|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,
MEG_134|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,
MEG_262|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,
MEG_912|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME,
MEG_147|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,
MEG_110|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,
MEG_11296|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,Drugs,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-PRIME,
MEG_835|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME,
MEG_945|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME,
MEG_2932|Drugs|Aminoglycosides|16S_rRNA_methyltransferases|FMRO,Drugs,Aminoglycosides,16S rRNA methyltransferases,FMRO,
MEG_1026|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-DPRIME,
MEG_11506|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT6,
MEG_330|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,
MEG_48|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,
MEG_1027|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-DPRIME,
MEG_1060|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,Drugs,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-PRIME,
MEG_7872|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,
MEG_192|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,
MEG_308|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,
MEG_11397|Drugs|Aminoglycosides|16S_rRNA_methyltransferases|KAMC,Drugs,Aminoglycosides,16S rRNA methyltransferases,KAMC,
MEG_948|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME,
MEG_11295|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,Drugs,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-PRIME,
MEG_340|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,
