genome,fragment,original_removed_start,original_removed_stop,original_removed_length,inserted_gene_id,inserted_gene_header,inserted_gene_length,inserted_start,inserted_stop,strand
Akkermansia_muciniphila,Akkermansia_muciniphila,1706143,1706439,297,MEG_9902|Drugs|betalactams|Class_D_betalactamases|OXA,MEG_9902|Drugs|betalactams|Class_D_betalactamases|OXA,789,1706143,1706931,+
Bacteroides_fragilis,Bacteroides_fragilis,48906,50831,1926,MEG_3839|Metals|Mercury_resistance|Mercury_resistance_protein|MERA,MEG_3839|Metals|Mercury_resistance|Mercury_resistance_protein|MERA,359,48906,49264,+
Bacteroides_fragilis,Bacteroides_fragilis,380286,381188,903,MEG_3841|Metals|Mercury_resistance|Mercury_resistance_protein|MERA,MEG_3841|Metals|Mercury_resistance|Mercury_resistance_protein|MERA,1644,378719,380362,+
Bacteroides_fragilis,Bacteroides_fragilis,402236,403441,1206,MEG_3295|Drugs|Mupirocin|Mupirocin-resistant_isoleucyl-tRNA_synthetase|ILES,MEG_3295|Drugs|Mupirocin|Mupirocin-resistant_isoleucyl-tRNA_synthetase|ILES,3324,401410,404733,+
Bacteroides_fragilis,Bacteroides_fragilis,403466,403978,513,MEG_3025|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSX,MEG_3025|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSX,465,404758,405222,+
Bacteroides_fragilis,Bacteroides_fragilis,1825829,1827158,1330,MEG_3862|Metals|Mercury_resistance|Mercury_resistance_regulator|MERD,MEG_3862|Metals|Mercury_resistance|Mercury_resistance_regulator|MERD,366,1827073,1827438,+
Bifidobacterium_adolescentis,Bifidobacterium_adolescentis,1255962,1256299,338,MEG_5892|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,MEG_5892|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,645,1255962,1256606,+
Bifidobacterium_adolescentis,Bifidobacterium_adolescentis,1470793,1474093,3301,MEG_3265|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|HLYD,MEG_3265|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|HLYD,1176,1471100,1472275,+
Bifidobacterium_adolescentis,Bifidobacterium_adolescentis,1956215,1957669,1455,MEG_1160|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSC,MEG_1160|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSC,396,1954397,1954792,+
Clostridioides_difficile,Clostridium_difficille,367386,368324,939,MEG_11230|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRA,MEG_11230|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRA,657,367386,368042,+
Clostridioides_difficile,Clostridium_difficille,888451,888792,342,MEG_4307|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|OPTRA,MEG_4307|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|OPTRA,1968,888169,890136,+
Clostridioides_difficile,Clostridium_difficille,890676,891249,574,MEG_712|Metals|Arsenic_resistance|Arsenite_oxidase|AIOA,MEG_712|Metals|Arsenic_resistance|Arsenite_oxidase|AIOA,2481,892020,894500,+
Clostridioides_difficile,Clostridium_difficille,1184042,1184551,510,MEG_2501|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,MEG_2501|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,474,1187293,1187766,+
Clostridioides_difficile,Clostridium_difficille,1430567,1431034,468,MEG_2444|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|CUID,MEG_2444|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|CUID,1611,1433782,1435392,+
Clostridioides_difficile,Clostridium_difficille,1482656,1483981,1326,MEG_8090|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSL,MEG_8090|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSL,411,1487014,1487424,+
Clostridioides_difficile,Clostridium_difficille,1677480,1679313,1834,MEG_3670|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR,MEG_3670|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR,1626,1680923,1682548,+
Clostridioides_difficile,Clostridium_difficille,1679574,1680674,1101,MEG_3666|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR,MEG_3666|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR,1617,1682809,1684425,+
Clostridioides_difficile,Clostridium_difficille,1681495,1683633,2139,MEG_7160|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,MEG_7160|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,1920,1685246,1687165,+
Clostridioides_difficile,Clostridium_difficille,1779516,1780253,738,MEG_4220|Metals|Nickel_resistance|Nickel_resistance_regulator|NRSR,MEG_4220|Metals|Nickel_resistance|Nickel_resistance_regulator|NRSR,705,1783048,1783752,+
Clostridioides_difficile,Clostridium_difficille,2731316,2732968,1653,MEG_2845|Drugs|MLS|23S_rRNA_methyltransferases|ERMS,MEG_2845|Drugs|MLS|23S_rRNA_methyltransferases|ERMS,960,2734815,2735774,+
Clostridium_perfringens,Clostridium_perfringens.final.genome,968146,969852,1707,MEG_2666|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|DPSA,MEG_2666|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|DPSA,489,968146,968634,+
Clostridium_perfringens,Clostridium_perfringens.final.genome,3124924,3126633,1710,MEG_2974|Drugs|Fosfomycin|Fosfomycin_phosphorylation|FOMB,MEG_2974|Drugs|Fosfomycin|Fosfomycin_phosphorylation|FOMB,993,3123706,3124698,+
Enterococcus_faecalis,Enterococcus_faecalis,110300,110794,495,MEG_8778|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR,MEG_8778|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR,1644,110300,111943,+
Enterococcus_faecalis,Enterococcus_faecalis,318515,319159,645,MEG_2993|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,MEG_2993|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,420,319664,320083,+
Enterococcus_faecalis,Enterococcus_faecalis,686369,688471,2103,MEG_2899|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_ABC_efflux_pumps|FETB,MEG_2899|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_ABC_efflux_pumps|FETB,807,687293,688099,+
Enterococcus_faecalis,Enterococcus_faecalis,688488,688844,357,MEG_3914|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXH,MEG_3914|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXH,1113,688116,689228,+
Enterococcus_faecalis,Enterococcus_faecalis,692857,693912,1056,MEG_7209|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,MEG_7209|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,1920,693241,695160,+
Enterococcus_faecalis,Enterococcus_faecalis,693942,695021,1080,MEG_7848|Metals|Zinc_resistance|Zinc_resistance_regulator|ZIAR,MEG_7848|Metals|Zinc_resistance|Zinc_resistance_regulator|ZIAR,399,695190,695588,+
Enterococcus_faecalis,Enterococcus_faecalis,695101,696843,1743,MEG_6601|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,MEG_6601|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,840,695668,696507,+
Enterococcus_faecalis,Enterococcus_faecalis,696879,697244,366,MEG_3677|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR,MEG_3677|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR,1623,696543,698165,+
