genome,fragment,original_removed_start,original_removed_stop,original_removed_length,inserted_gene_id,inserted_gene_header,inserted_gene_length,inserted_start,inserted_stop,strand
Akkermansia_muciniphila,Akkermansia_muciniphila,1706143,1706439,297,MEG_11495|Drugs|Metronidazole|nim_nitroimidazole_reductase|NIMI,MEG_11495|Drugs|Metronidazole|nim_nitroimidazole_reductase|NIMI,498,1706143,1706640,+
Bacteroides_fragilis,Bacteroides_fragilis,48906,50831,1926,MEG_4004|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|MODB,MEG_4004|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|MODB,605,48906,49510,+
Bacteroides_fragilis,Bacteroides_fragilis,380286,381188,903,MEG_6299|Drugs|betalactams|Class_A_betalactamases|SHV,MEG_6299|Drugs|betalactams|Class_A_betalactamases|SHV,900,378965,379864,+
Bacteroides_fragilis,Bacteroides_fragilis,402236,403441,1206,MEG_2975|Drugs|Fosfomycin|Fosfomycin_phosphorylation|FOMB,MEG_2975|Drugs|Fosfomycin|Fosfomycin_phosphorylation|FOMB,980,400912,401891,+
Bacteroides_fragilis,Bacteroides_fragilis,403466,403978,513,MEG_7008|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET55,MEG_7008|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET55,1158,401916,403073,+
Bacteroides_fragilis,Bacteroides_fragilis,1825829,1827158,1330,MEG_3841|Metals|Mercury_resistance|Mercury_resistance_protein|MERA,MEG_3841|Metals|Mercury_resistance|Mercury_resistance_protein|MERA,1644,1824924,1826567,+
Bifidobacterium_adolescentis,Bifidobacterium_adolescentis,1255962,1256299,338,MEG_11438|Biocides|Peroxide_resistance|Peroxide_resistance_stress_protein|SODC,MEG_11438|Biocides|Peroxide_resistance|Peroxide_resistance_stress_protein|SODC,534,1255962,1256495,+
Bifidobacterium_adolescentis,Bifidobacterium_adolescentis,1470793,1474093,3301,MEG_8940|Drugs|betalactams|Class_C_betalactamases|CMH,MEG_8940|Drugs|betalactams|Class_C_betalactamases|CMH,1146,1470989,1472134,+
Bifidobacterium_adolescentis,Bifidobacterium_adolescentis,1956215,1957669,1455,MEG_11299|Drugs|Bacitracin|Bacitracin_ABC_transporter|BCRA,MEG_11299|Drugs|Bacitracin|Bacitracin_ABC_transporter|BCRA,924,1954256,1955179,+
Clostridioides_difficile,Clostridium_difficille,367386,368324,939,MEG_1741|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|CMEC,MEG_1741|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|CMEC,1479,367386,368864,+
Clostridioides_difficile,Clostridium_difficille,888451,888792,342,MEG_2556|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,MEG_2556|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,534,888991,889524,+
Clostridioides_difficile,Clostridium_difficille,890676,891249,574,MEG_2448|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSC,MEG_2448|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSC,1374,891408,892781,+
Clostridioides_difficile,Clostridium_difficille,1184042,1184551,510,MEG_6614|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,MEG_6614|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,837,1185574,1186410,+
Clostridioides_difficile,Clostridium_difficille,1430567,1431034,468,MEG_626|Drugs|betalactams|Class_C_betalactamases|ADC,MEG_626|Drugs|betalactams|Class_C_betalactamases|ADC,1152,1432426,1433577,+
Clostridioides_difficile,Clostridium_difficille,1482656,1483981,1326,MEG_8779|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR,MEG_8779|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR,1626,1485199,1486824,+
Clostridioides_difficile,Clostridium_difficille,1677480,1679313,1834,MEG_7866|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|ZUPT,MEG_7866|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|ZUPT,774,1680323,1681096,+
Clostridioides_difficile,Clostridium_difficille,1679574,1680674,1101,MEG_7872|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,MEG_7872|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,600,1681357,1681956,+
Clostridioides_difficile,Clostridium_difficille,1681495,1683633,2139,MEG_6158|Drugs|Nucleosides|Streptothricin_acetyltransferase|SAT,MEG_6158|Drugs|Nucleosides|Streptothricin_acetyltransferase|SAT,555,1682777,1683331,+
Clostridioides_difficile,Clostridium_difficille,1779516,1780253,738,MEG_3920|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXN,MEG_3920|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXN,1158,1779214,1780371,+
Clostridioides_difficile,Clostridium_difficille,2731316,2732968,1653,MEG_3288|Biocides|Peroxide_resistance|Peroxide_resistance_stress_protein|IBPB,MEG_3288|Biocides|Peroxide_resistance|Peroxide_resistance_stress_protein|IBPB,429,2731434,2731862,+
Clostridium_perfringens,Clostridium_perfringens.final.genome,968146,969852,1707,MEG_2080|Metals|Copper_resistance|Copper_resistance_regulator|COPY,MEG_2080|Metals|Copper_resistance|Copper_resistance_regulator|COPY,438,968146,968583,+
Clostridium_perfringens,Clostridium_perfringens.final.genome,3124924,3126633,1710,MEG_6161|Drugs|Nucleosides|Streptothricin_acetyltransferase|SAT,MEG_6161|Drugs|Nucleosides|Streptothricin_acetyltransferase|SAT,525,3123655,3124179,+
Enterococcus_faecalis,Enterococcus_faecalis,110300,110794,495,MEG_3749|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|MDTC,MEG_3749|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|MDTC,3078,110300,113377,+
Enterococcus_faecalis,Enterococcus_faecalis,318515,319159,645,MEG_1779|Drugs|Multi-drug_resistance|Multi-drug_MFS_efflux_pumps|CMR,MEG_1779|Drugs|Multi-drug_resistance|Multi-drug_MFS_efflux_pumps|CMR,1380,321098,322477,+
Enterococcus_faecalis,Enterococcus_faecalis,686369,688471,2103,MEG_4126|Metals|Nickel_resistance|Nickel_MFS_efflux_pumps|NCRCN,MEG_4126|Metals|Nickel_resistance|Nickel_MFS_efflux_pumps|NCRCN,1131,689687,690817,+
Enterococcus_faecalis,Enterococcus_faecalis,688488,688844,357,MEG_7856|Metals|Zinc_resistance|Zinc_resistance_protein|ZNUA,MEG_7856|Metals|Zinc_resistance|Zinc_resistance_protein|ZNUA,933,690834,691766,+
Enterococcus_faecalis,Enterococcus_faecalis,692857,693912,1056,MEG_2653|Metals|Copper_resistance|Copper_resistance_protein|DNAK,MEG_2653|Metals|Copper_resistance|Copper_resistance_protein|DNAK,1878,695779,697656,+
Enterococcus_faecalis,Enterococcus_faecalis,693942,695021,1080,MEG_7440|Drugs|Glycopeptides|VanI-type_resistance_protein|VANI,MEG_7440|Drugs|Glycopeptides|VanI-type_resistance_protein|VANI,1041,697686,698726,+
Enterococcus_faecalis,Enterococcus_faecalis,695101,696843,1743,MEG_7533|Drugs|Glycopeptides|VanL-type_resistance_protein|VANTML,MEG_7533|Drugs|Glycopeptides|VanL-type_resistance_protein|VANTML,990,698806,699795,+
Enterococcus_faecalis,Enterococcus_faecalis,696879,697244,366,MEG_7862|Metals|Zinc_resistance|Zinc_resistance_regulator|ZRAR,MEG_7862|Metals|Zinc_resistance|Zinc_resistance_regulator|ZRAR,1326,699831,701156,+
Enterococcus_faecalis,Enterococcus_faecalis,697377,697748,372,MEG_1134|Drugs|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,MEG_1134|Drugs|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,453,701289,701741,+
Enterococcus_faecalis,Enterococcus_faecalis,698134,699873,1740,MEG_2016|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|COAR,MEG_2016|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|COAR,1113,702127,703239,+
Enterococcus_faecalis,Enterococcus_faecalis,699893,700204,312,MEG_3021|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSF,MEG_3021|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSF,399,703259,703657,+
Enterococcus_faecalis,Enterococcus_faecalis,982309,983805,1497,MEG_6504|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|SILF,MEG_6504|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|SILF,354,985762,986115,+
Enterococcus_faecalis,Enterococcus_faecalis,1135205,1135685,481,MEG_5800|Multi-compound|Drug_and_metal_resistance|Drug_and_metal_MFS_efflux_pumps|PMRCM,MEG_5800|Multi-compound|Drug_and_metal_resistance|Drug_and_metal_MFS_efflux_pumps|PMRCM,1647,1137515,1139161,+
Enterococcus_faecalis,Enterococcus_faecalis,1529260,1531416,2157,MEG_1641|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|CDEA,MEG_1641|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|CDEA,1326,1532736,1534061,+
