genome,fragment,original_removed_start,original_removed_stop,original_removed_length,inserted_gene_id,inserted_gene_header,inserted_gene_length,inserted_start,inserted_stop,strand
Akkermansia_muciniphila,Akkermansia_muciniphila,1706143,1706439,297,MEG_8081|Drugs|MLS|23S_rRNA_methyltransferases|ERM50,MEG_8081|Drugs|MLS|23S_rRNA_methyltransferases|ERM50,792,1706143,1706934,+
Bacteroides_fragilis,Bacteroides_fragilis,48906,50831,1926,MEG_2794|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,MEG_2794|Drugs|MLS|23S_rRNA_methyltransferases|ERMB,738,48906,49643,+
Bacteroides_fragilis,Bacteroides_fragilis,380286,381188,903,MEG_8048|Drugs|betalactams|Class_A_betalactamases|CTX,MEG_8048|Drugs|betalactams|Class_A_betalactamases|CTX,876,379098,379973,+
Bacteroides_fragilis,Bacteroides_fragilis,402236,403441,1206,MEG_11495|Drugs|Metronidazole|nim_nitroimidazole_reductase|NIMI,MEG_11495|Drugs|Metronidazole|nim_nitroimidazole_reductase|NIMI,498,401021,401518,+
Bacteroides_fragilis,Bacteroides_fragilis,403466,403978,513,MEG_3072|Drugs|Fusidic_acid|Fusidic_acid_esterases|FUSF,MEG_3072|Drugs|Fusidic_acid|Fusidic_acid_esterases|FUSF,645,401543,402187,+
Bacteroides_fragilis,Bacteroides_fragilis,1825829,1827158,1330,MEG_2990|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,MEG_2990|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,582,1824038,1824619,+
Bifidobacterium_adolescentis,Bifidobacterium_adolescentis,1255962,1256299,338,MEG_3494|Drugs|betalactams|Class_A_betalactamases|KPC,MEG_3494|Drugs|betalactams|Class_A_betalactamases|KPC,882,1255962,1256843,+
Bifidobacterium_adolescentis,Bifidobacterium_adolescentis,1470793,1474093,3301,MEG_3014|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSB,MEG_3014|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSB,420,1471337,1471756,+
Bifidobacterium_adolescentis,Bifidobacterium_adolescentis,1956215,1957669,1455,MEG_6545|Biocides|Peroxide_resistance|peroxide_resistance_protein|SODB,MEG_6545|Biocides|Peroxide_resistance|peroxide_resistance_protein|SODB,582,1953878,1954459,+
Clostridioides_difficile,Clostridium_difficille,367386,368324,939,MEG_6087|Drugs|Rifampin|Rifampin_phosphotransferase|RPH,MEG_6087|Drugs|Rifampin|Rifampin_phosphotransferase|RPH,2619,367386,370004,+
Clostridioides_difficile,Clostridium_difficille,888451,888792,342,MEG_11337|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|CADC,MEG_11337|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|CADC,357,890131,890487,+
Clostridioides_difficile,Clostridium_difficille,890676,891249,574,MEG_1173|Metals|Arsenic_resistance|Arsenic_resistance_regulator|ARSR,MEG_1173|Metals|Arsenic_resistance|Arsenic_resistance_regulator|ARSR,354,892371,892724,+
Clostridioides_difficile,Clostridium_difficille,1184042,1184551,510,MEG_3078|Biocides|Acid_resistance|Acid_resistance_protein|GADB,MEG_3078|Biocides|Acid_resistance|Acid_resistance_protein|GADB,1401,1185517,1186917,+
Clostridioides_difficile,Clostridium_difficille,1430567,1431034,468,MEG_6088|Drugs|Rifampin|Rifampin_phosphotransferase|RPH,MEG_6088|Drugs|Rifampin|Rifampin_phosphotransferase|RPH,2598,1432933,1435530,+
Clostridioides_difficile,Clostridium_difficille,1482656,1483981,1326,MEG_500|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|ACTP,MEG_500|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|ACTP,2484,1487152,1489635,+
Clostridioides_difficile,Clostridium_difficille,1677480,1679313,1834,MEG_4054|Drugs|Cationic_antimicrobial_peptides|Defensin-resistant_mprF|MPRF,MEG_4054|Drugs|Cationic_antimicrobial_peptides|Defensin-resistant_mprF|MPRF,2643,1683134,1685776,+
Clostridioides_difficile,Clostridium_difficille,1679574,1680674,1101,MEG_1125|Drugs|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,MEG_1125|Drugs|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,453,1686037,1686489,+
Clostridioides_difficile,Clostridium_difficille,1681495,1683633,2139,MEG_8802|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR,MEG_8802|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR,1620,1687310,1688929,+
Clostridioides_difficile,Clostridium_difficille,1779516,1780253,738,MEG_1123|Drugs|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,MEG_1123|Drugs|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,453,1784812,1785264,+
Clostridioides_difficile,Clostridium_difficille,2731316,2732968,1653,MEG_6153|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|RUVB,MEG_6153|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|RUVB,1193,2736327,2737519,+
Clostridium_perfringens,Clostridium_perfringens.final.genome,968146,969852,1707,MEG_4187|Drugs|Metronidazole|nim_nitroimidazole_reductase|NIMH,MEG_4187|Drugs|Metronidazole|nim_nitroimidazole_reductase|NIMH,458,968146,968603,+
