genome,fragment,original_removed_start,original_removed_stop,original_removed_length,inserted_gene_id,inserted_gene_header,inserted_gene_length,inserted_start,inserted_stop,strand
Akkermansia_muciniphila,Akkermansia_muciniphila,1706143,1706439,297,MEG_3867|Metals|Mercury_resistance|Mercury_resistance_protein|MERE,MEG_3867|Metals|Mercury_resistance|Mercury_resistance_protein|MERE,237,1706143,1706379,+
Bacteroides_fragilis,Bacteroides_fragilis,48906,50831,1926,MEG_5413|Metals|Lead_resistance|Lead_P-type_ATPase_regulator|PBRR,MEG_5413|Metals|Lead_resistance|Lead_P-type_ATPase_regulator|PBRR,453,48906,49358,+
Bacteroides_fragilis,Bacteroides_fragilis,380286,381188,903,MEG_7865|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|ZUPT,MEG_7865|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|ZUPT,798,378813,379610,+
Bacteroides_fragilis,Bacteroides_fragilis,402236,403441,1206,MEG_6625|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,MEG_6625|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,816,400658,401473,+
Bacteroides_fragilis,Bacteroides_fragilis,403466,403978,513,MEG_1193|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|BAES,MEG_1193|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|BAES,1404,401498,402901,+
Bacteroides_fragilis,Bacteroides_fragilis,1825829,1827158,1330,MEG_7578|Drugs|Glycopeptides|VanC-type_resistance_protein|VANXYC,MEG_7578|Drugs|Glycopeptides|VanC-type_resistance_protein|VANXYC,573,1824752,1825324,+
Bifidobacterium_adolescentis,Bifidobacterium_adolescentis,1255962,1256299,338,MEG_3996|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|MMR,MEG_3996|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|MMR,324,1255962,1256285,+
Bifidobacterium_adolescentis,Bifidobacterium_adolescentis,1470793,1474093,3301,MEG_7507|Drugs|Glycopeptides|VanD-type_regulator|VANSD,MEG_7507|Drugs|Glycopeptides|VanD-type_regulator|VANSD,1146,1470779,1471924,+
Bifidobacterium_adolescentis,Bifidobacterium_adolescentis,1956215,1957669,1455,MEG_9153|Drugs|betalactams|Class_C_betalactamases|PDC,MEG_9153|Drugs|betalactams|Class_C_betalactamases|PDC,1194,1954046,1955239,+
Clostridioides_difficile,Clostridium_difficille,367386,368324,939,MEG_11432|Drugs|Multi-drug_resistance|ABC-F_ribosomal_protection_protein|VGAF,MEG_11432|Drugs|Multi-drug_resistance|ABC-F_ribosomal_protection_protein|VGAF,1386,367386,368771,+
Clostridioides_difficile,Clostridium_difficille,888451,888792,342,MEG_9960|Drugs|betalactams|Class_B_betalactamases|KHM,MEG_9960|Drugs|betalactams|Class_B_betalactamases|KHM,720,888898,889617,+
Clostridioides_difficile,Clostridium_difficille,890676,891249,574,MEG_2143|Metals|Copper_resistance|Copper_resistance_protein|CTPV,MEG_2143|Metals|Copper_resistance|Copper_resistance_protein|CTPV,2313,891501,893813,+
Clostridioides_difficile,Clostridium_difficille,1184042,1184551,510,MEG_712|Metals|Arsenic_resistance|Arsenite_oxidase|AIOA,MEG_712|Metals|Arsenic_resistance|Arsenite_oxidase|AIOA,2481,1186606,1189086,+
Clostridioides_difficile,Clostridium_difficille,1430567,1431034,468,MEG_3452|Metals|Tellurium_resistance|Tellurium_resistance_protein|KLAB,MEG_3452|Metals|Tellurium_resistance|Tellurium_resistance_protein|KLAB,1137,1435102,1436238,+
Clostridioides_difficile,Clostridium_difficille,1482656,1483981,1326,MEG_5989|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,MEG_5989|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,645,1487860,1488504,+
Clostridioides_difficile,Clostridium_difficille,1677480,1679313,1834,MEG_4220|Metals|Nickel_resistance|Nickel_resistance_regulator|NRSR,MEG_4220|Metals|Nickel_resistance|Nickel_resistance_regulator|NRSR,705,1682003,1682707,+
Clostridioides_difficile,Clostridium_difficille,1679574,1680674,1101,MEG_7328|Drugs|Cationic_antimicrobial_peptides|Lipid_A_modification|UGD,MEG_7328|Drugs|Cationic_antimicrobial_peptides|Lipid_A_modification|UGD,1167,1682968,1684134,+
Clostridioides_difficile,Clostridium_difficille,1681495,1683633,2139,MEG_7793|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|VMEJ,MEG_7793|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|VMEJ,1116,1684955,1686070,+
Clostridioides_difficile,Clostridium_difficille,1779516,1780253,738,MEG_7400|Drugs|Glycopeptides|VanA-type_resistance_protein|VANHA,MEG_7400|Drugs|Glycopeptides|VanA-type_resistance_protein|VANHA,1047,1781953,1782999,+
Clostridioides_difficile,Clostridium_difficille,2731316,2732968,1653,MEG_2084|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CORA,MEG_2084|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CORA,951,2734062,2735012,+
Clostridium_perfringens,Clostridium_perfringens.final.genome,968146,969852,1707,MEG_8065|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,MEG_8065|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,501,968146,968646,+
Clostridium_perfringens,Clostridium_perfringens.final.genome,3124924,3126633,1710,MEG_6979|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET36,MEG_6979|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET36,1923,3123718,3125640,+
Enterococcus_faecalis,Enterococcus_faecalis,110300,110794,495,MEG_8940|Drugs|betalactams|Class_C_betalactamases|CMH,MEG_8940|Drugs|betalactams|Class_C_betalactamases|CMH,1146,110300,111445,+
Enterococcus_faecalis,Enterococcus_faecalis,318515,319159,645,MEG_2037|Metals|Copper_resistance|Copper_resistance_protein|COPB,MEG_2037|Metals|Copper_resistance|Copper_resistance_protein|COPB,888,319166,320053,+
Enterococcus_faecalis,Enterococcus_faecalis,686369,688471,2103,MEG_6564|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_regulator|SRPS,MEG_6564|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_regulator|SRPS,780,687263,688042,+
Enterococcus_faecalis,Enterococcus_faecalis,688488,688844,357,MEG_11516|Drugs|Ionophores|Ionophore_ABC_efflux_pump|NARB,MEG_11516|Drugs|Ionophores|Ionophore_ABC_efflux_pump|NARB,1614,688059,689672,+
Enterococcus_faecalis,Enterococcus_faecalis,692857,693912,1056,MEG_5979|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,MEG_5979|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,645,693685,694329,+
Enterococcus_faecalis,Enterococcus_faecalis,693942,695021,1080,MEG_2657|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|DPR,MEG_2657|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|DPR,519,694359,694877,+
Enterococcus_faecalis,Enterococcus_faecalis,695101,696843,1743,MEG_4184|Drugs|Metronidazole|nim_nitroimidazole_reductase|NIME,MEG_4184|Drugs|Metronidazole|nim_nitroimidazole_reductase|NIME,435,694957,695391,+
Enterococcus_faecalis,Enterococcus_faecalis,696879,697244,366,MEG_7855|Metals|Zinc_resistance|Zinc_resistance_protein|ZNUA,MEG_7855|Metals|Zinc_resistance|Zinc_resistance_protein|ZNUA,987,695427,696413,+
Enterococcus_faecalis,Enterococcus_faecalis,697377,697748,372,MEG_11496|Drugs|Metronidazole|nim_nitroimidazole_reductase|NIMI,MEG_11496|Drugs|Metronidazole|nim_nitroimidazole_reductase|NIMI,498,696546,697043,+
Enterococcus_faecalis,Enterococcus_faecalis,698134,699873,1740,MEG_912|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,MEG_912|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,789,697429,698217,+
