genome,fragment,original_removed_start,original_removed_stop,original_removed_length,inserted_gene_id,inserted_gene_header,inserted_gene_length,inserted_start,inserted_stop,strand
Akkermansia_muciniphila,Akkermansia_muciniphila,1706143,1706439,297,MEG_11254|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRB,MEG_11254|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRB,237,1706143,1706379,+
Bacteroides_fragilis,Bacteroides_fragilis,48906,50831,1926,MEG_7001|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET48,MEG_7001|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET48,1200,48906,50105,+
Bacteroides_fragilis,Bacteroides_fragilis,380286,381188,903,MEG_6047|Drugs|Rifampin|RNA-polymerase_binding_protein|RBPA,MEG_6047|Drugs|Rifampin|RNA-polymerase_binding_protein|RBPA,345,379560,379904,+
Bacteroides_fragilis,Bacteroides_fragilis,402236,403441,1206,MEG_5786|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_regulator|PHOR,MEG_5786|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_regulator|PHOR,1467,400952,402418,+
Bacteroides_fragilis,Bacteroides_fragilis,403466,403978,513,MEG_367|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,MEG_367|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,606,402443,403048,+
Bacteroides_fragilis,Bacteroides_fragilis,1825829,1827158,1330,MEG_4193|Drugs|Metronidazole|nim_nitroimidazole_reductase|NIMI,MEG_4193|Drugs|Metronidazole|nim_nitroimidazole_reductase|NIMI,457,1824899,1825355,+
Bifidobacterium_adolescentis,Bifidobacterium_adolescentis,1255962,1256299,338,MEG_4314|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|OPTRA,MEG_4314|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|OPTRA,1968,1255962,1257929,+
Bifidobacterium_adolescentis,Bifidobacterium_adolescentis,1470793,1474093,3301,MEG_2682|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,MEG_2682|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,627,1472423,1473049,+
Bifidobacterium_adolescentis,Bifidobacterium_adolescentis,1956215,1957669,1455,MEG_7787|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|VMED,MEG_7787|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|VMED,3123,1955171,1958293,+
Clostridioides_difficile,Clostridium_difficille,367386,368324,939,MEG_4316|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|OPTRA,MEG_4316|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|OPTRA,1968,367386,369353,+
