SNP_accession,S011_rd050m_R01_100bp_97ani_V4Full,S012_rd050m_R02_100bp_97ani_V4Full,S013_rd050m_R03_100bp_97ani_V4Full,S014_rd050m_R04_100bp_97ani_V4Full,S015_rd050m_R05_100bp_97ani_V4Full,S016_rd050m_R06_100bp_97ani_V4Full,S017_rd050m_R07_100bp_97ani_V4Full,S018_rd050m_R08_100bp_97ani_V4Full,S019_rd050m_R09_100bp_97ani_V4Full,S020_rd050m_R10_100bp_97ani_V4Full
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_2|A16S-2_T_327_C,0,2,8,0,3,2,3,0,2,2
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_2|A16S-2_A_406_G,3,0,2,0,0,2,3,1,1,0
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_2|A16S-2_A_508_G,1,3,2,1,0,2,5,1,1,1
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_2|A16S-2_A_525_G,43,61,48,99,3,14,83,22,27,29
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_2|A16S-2_T_544_C,0,0,1,0,0,3,5,1,0,1
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_2|A16S-2_A_662_C,4,0,2,0,0,0,1,0,0,0
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_2|A16S-2_T_670_G,12,3,7,3,4,4,9,2,4,4
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_2|A16S-2_A_722_C,8,2,4,2,0,3,5,3,4,4
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_2|A16S-2_T_801_C,10,1,4,1,2,2,8,2,3,3
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_2|A16S-2_A_874_C,6,9,7,27,0,4,17,6,6,6
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_2|A16S-2_G_956_A,3,0,1,1,0,0,2,0,0,0
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_2|A16S-2_C_1102_T,8,7,12,19,0,5,21,1,5,9
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_2|A16S-2_T_1288_C,100,20,39,12,17,19,36,21,11,20
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_2|A16S-2_T_1320_C,63,13,20,5,9,10,21,15,7,11
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_2|A16S-2_A_1338_G,14,3,8,0,4,1,9,2,5,2
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_2|A16S-2_G_1363_A,13,2,5,0,2,4,2,0,0,1
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_2|A16S-2_C_1379_T,15,4,9,1,2,10,17,0,5,2
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_2|A16S-2_T_1415_C,29,2,11,0,2,8,5,0,0,1
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_2|A16S-2_G_1453_A,27,41,33,107,7,35,83,25,24,34
MEG_2|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_2|A16S-2_C_1470_T,1,0,2,0,3,8,14,1,6,4
MEG_3|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_3|A16S-3_C_315_T,1,0,2,0,19,1,1,1,1,1
MEG_3|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_3|A16S-3_G_406_C,5,4,3,1,55,4,2,2,5,3
MEG_3|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_3|A16S-3_T_434_G,0,0,0,1,4,0,0,0,1,0
MEG_3|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_3|A16S-3_G_724_A,0,2,2,0,16,2,0,0,0,5
MEG_3|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_3|A16S-3_A_736_C,0,2,2,0,16,2,0,0,0,5
MEG_3|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_3|A16S-3_A_739_C,0,2,2,0,16,2,0,0,0,5
MEG_3|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|MEG_3|A16S-3_G_910_A,12,18,9,2,114,2,2,1,2,6
